List of companies pulled from responses to this tweet. Reply to the tweet to get added in the spreadsheet.,,,
Best to send 2-3 thoughtful DMs max. Please don't spam.,,,
Company,Location,Career Page,Thread Reply Link
Acuity Health,"Miami, FL",https://acuityhealth.io/,https://x.com/benln/status/2079598745734238527
Adaptive Security,"NYC, London, Sydney, LA, SF",https://www.adaptivesecurity.com/careers,https://x.com/benln/status/2079598745734238527
alephneuro,SF,https://alephneuro.com/careers,https://x.com/benln/status/2079598745734238527
Alloy Robotics,"Sydney, Australia",https://app.dover.com/jobs/usealloy,https://x.com/_joe_harris_/status/2079792058861261251
Arcanist,NYC (in person),https://www.tryarcanist.com/hiring,https://x.com/benln/status/2079598745734238527
Ataraxis_AI,NYC,https://jobs.ashbyhq.com/ataraxis-ai,https://x.com/JanWitowski/status/2079689436388790483
Baseten,"SF, NYC, Toronto, Montreal & North America",https://www.baseten.co/resources/careers/,https://x.com/benln/status/2079598745734238527
Baselayerhq,NYC and SF (in office),https://baselayer.com/about/#careers,https://x.com/LaSala_Mike/status/2079684598259228939
Brainforge AI,Remote (Austin-based),https://brainforge.ai/careers/,https://x.com/uttamkumaran/status/2079676739786035463
CitizenApp,NYC,https://citizen.com/careers,https://x.com/dspaces1/status/2079720908818731015
CloudEagle.ai,Remote,https://www.cloudeagle.ai/careers,https://x.com/cloudeagleai/status/2079807721822667027
Cognition,"SF, NYC or London",https://jobs.ashbyhq.com/cognition/811c3f5a-b26d-4162-b49b-93890a91794d,https://x.com/charityquinn_/status/2079696305207877907
ConductAI,"London, NYC",https://jobs.ashbyhq.com/conduct,https://x.com/mikolaj_power/status/2079636123802841541
ConsensusNLP,Bay Area,(mentioned),https://x.com/benln/status/2079598745734238527
Crunched,"Oslo, Norway and New York",https://www.usecrunched.com/careers,https://x.com/Samuel02106975/status/2079809314852630647
Cursor,"NYC, SF, global",https://cursor.com/careers,https://x.com/HarshitKhemani/status/2079599026190889018
Distyl,NYC / SF,https://www.distyl.ai/careers,https://x.com/ellisgouller_/status/2079614763374702910
Dub,Fully remote (US/EU timezones preferred),https://dub.co/careers,https://x.com/steventey/status/2079738745688084602
Edison Scientific,SF,https://jobs.ashbyhq.com/Edison%20Scientific,https://x.com/zaaisvanzyl/status/2079636554939109623
Enzo Health,Lehi,https://www.enzo.health/careers,https://x.com/benln/status/2079598745734238527
Exa,—,https://exa.ai/careers,https://x.com/benln/status/2079598745734238527
F2AI (F2aiHQ),SF/NYC,https://f2.ai/careers,https://x.com/Sanjay920/status/2079825342286708967
fal,SF (in-office preference),https://fal.ai/careers,https://x.com/Mike_Pevzner/status/2079664924670951933
Firecrawl,San Francisco and Remote,https://www.firecrawl.dev/careers,https://x.com/abimaelmartell/status/2079599052849918098
FlexSuperApp,—,https://jobs.lever.co/Flex/,https://x.com/haleymbryant/status/2079696902300357106
Formation Bio,"NYC, Boston, SF",https://www.formation.bio/careers,https://x.com/lilithlwm/status/2079612239665865072
GammaApp,—,https://careers.gamma.app/,https://x.com/haleymbryant/status/2079696902300357106
Glean,"SF, MTV",https://www.glean.com/careers,https://x.com/benln/status/2079598745734238527
Greptile,"North Beach, SF",https://www.greptile.com/careers,https://x.com/rohankumar/status/2079767494919909490
Happenstance,SF Bay Area,https://happenstance.ai/careers,https://x.com/alex_teichman/status/2079618951005495721
Happl,London,https://jobs.ashbyhq.com/happl,https://x.com/benln/status/2079598745734238527
HelloPomo,SF Bay Area (open to remote),careers@usepomo.ai,https://x.com/praneetdutta/status/2079677963956781128
Hotplate,SF,https://jobs.ashbyhq.com/hotplate,https://x.com/rishistalati/status/2079687673049137226
Indices,London or SF,https://indices.io/careers,https://x.com/benln/status/2079598745734238527
Initio,San Francisco,https://careers.initiointelligence.com/,https://x.com/fabiosanchs/status/2079676554939109623
JudgmentLabs,Bay Area,https://www.judgmentlabs.ai/careers,https://x.com/benln/status/2079598745734238527
Legora,"Multiple cities (NY, London, SF + more)",https://legora.com/careers,https://x.com/faiyazalzami/status/2079650974520455191
Lovable,"Stockholm, London, SF, Boston, NY",https://lovable.dev/careers,https://x.com/oscarlzn/status/2079680796084818343
Merge API,"SF, NYC",https://www.merge.dev/careers,https://x.com/benln/status/2079598745734238527
MinervaAI,NY,https://www.minerva.io/company,https://x.com/TheRealDanSaedi/status/2079663735770116407
Mintlify,SF & NYC,https://www.mintlify.com/careers,https://x.com/laurenfrailey1/status/2079645248024904029
Moolaah Finance,Remote,https://moolaah.finance/careers,https://x.com/maisonry/status/2079804196585361872
MomentHQ,NYC,https://moment.com/careers,https://x.com/pctseng12/status/2079654657647890575
Multisig,Remote (onchain ops),(mentioned),https://x.com/benln/status/2079598745734238527
myStoria,Canada remote,https://wellfound.com/jobs/3651273-frontend-full-stack-engineer,https://x.com/scobelverse/status/2079617670568198347
neosigma_ai,SF,https://neosigma.ai/careers,https://x.com/gauri__gupta/status/2079734777914257725
niuralHQ,NY / SF,https://www.niural.com/careers,https://x.com/haleymbryant/status/2079696902300357106
Obin AI,—,(Hiring designers),https://x.com/designful_tech/status/2079721742998847929
Odin Dynamics,Los Angeles and DC,https://odindynamics.ai/careers,https://x.com/ai_agi_asi_/status/2079600381609349498
Opendoor,Canada preferred,(DMs open),https://x.com/0nasis/status/2079627240589943181
p0 (Parallel),Palo Alto + San Francisco,https://parallel.ai/careers,https://x.com/yangyou/status/2079680050614632649
Pantograph PBC,SF,https://jobs.ashbyhq.com/pantograph,https://x.com/camfassett/status/2079619894568730786
Pascal,NYC,https://teampascal.com/company/about#open-roles,https://x.com/huangrickh/status/2079724520366129435
PhotonHealth,NYC,https://photonhealth.com/careers,https://x.com/benln/status/2079598745734238527
Port,"Palo Alto, Austin, Boston, Tel Aviv, London, Sydney",https://www.port.io/careers,https://x.com/tweetsbyport/status/2079603272055169179
PostQ,Remote US / EU,https://postq.dev/careers#open-roles,https://x.com/PallabPaulll/status/2079644875528757692
Primitive Labs,SF / NYC,https://primitivelabs.ai/careers,https://x.com/primitivelabsai/status/2079694353442963905
PulumiCorp,Remote,https://job-boards.greenhouse.io/pulumicorporation/jobs/7782236003,https://x.com/tehsis/status/2079653724369060318
Qualified Health,"Palo Alto, CA",https://jobs.ashbyhq.com/qualified-health-pbc,https://x.com/Ponte_ai/status/2079658455355498879
RadicalAI,"NYC, SF, London",https://jobs.lever.co/RadicalAI,https://x.com/benln/status/2079598745734238527
RisingWave,SF,https://risingwave.com/,https://x.com/xiangyhu/status/2079847795952115820
Roadrunner AI,SF,https://roadrunner.ai/,https://x.com/eshao18/status/2079832264297570703
Sidecar Health,Remote first,https://job-boards.greenhouse.io/sidecarhealth,https://x.com/javierbndn/status/2079774298206539979
SigNoz,"Primarily India, some US/EU (remote)",https://jobs.ashbyhq.com/SigNoz,https://x.com/benln/status/2079598745734238527
simdotai,SF,https://www.sim.ai/careers,https://x.com/emkara/status/2079610747987107950
slashapp,"San Francisco, CA",https://www.slash.com/company/careers,https://x.com/Simar_Boparai_/status/2079682903102181417
SomaPix,Everywhere,https://www.somapix.com/growth-partner,https://x.com/bonheuri15/status/2079600308154409242
Sphere Labs,All remote,https://jobs.lever.co/sphere-laboratories,https://x.com/sphere_labs/status/2079636297644171420
Structify,NYC,https://www.structify.ai/careers,https://x.com/taichikato/status/2079762628910387486
Sudowrite,Anywhere in USA,https://sudowrite.com/jobs/mobile,https://x.com/jamesjyu/status/2079704894584524905
Supabase,Remote,https://supabase.com/careers,https://x.com/zchoq/status/2079749693739880886
Tandem Intelligence Inc.,—,https://tandem-ai-partner.notion.site/Tandem-Intelligence-Inc-Careers-38fcf5eea9eb801696cbc45387140347,https://x.com/KunalJain1017/status/2079627411822625171
Tenex / tenex_labs,NYC (and others),https://www.tenex.co/careers,https://x.com/tangdrew/status/2079683711470088663
Tern Software,—,https://tern.travel/careers,https://x.com/dsshull/status/2079700557795672331
TesanaAI,"SF, remote",https://tesana.ai/en/about,https://x.com/TesanaAI/status/2079629657465344036
Thekla Inc,—,(Hiring Head of AI),https://x.com/benln/status/2079598745734238527
TryArcade (Arcade),"SF, NYC, Austin",https://jobs.ashbyhq.com/arcadeai,https://x.com/benln/status/2079598745734238527
Windmill,NYC,https://jobs.ashbyhq.com/windmill,https://x.com/benln/status/2079598745734238527
Varick Agents,SF,https://www.varickagents.com/careers,https://x.com/mlboryczka/status/2079662420226916610
Veritus,San Francisco,https://www.ycombinator.com/companies/veritus/jobs,https://x.com/joshuamarch/status/2079604939203260775
Virio,SF,https://jobs.ashbyhq.com/virio,https://x.com/itzanettdiazz/status/2079836864756990235
Vitalize Care,San Francisco (Hybrid),https://jobs.ashbyhq.com/vitalize/ad6831f1-c0a9-4f6a-9a4c-6a78c48a3ce9,https://x.com/TannerSDev/status/2079812543321919581
Watchtower Labs,US,https://www.watchtowerlabs.ai,https://x.com/sourenag/status/2079811381503918525
whitecircle,"Paris, London, NYC",https://whitecircle.com/careers,https://x.com/bensicard/status/2079668001020797190
Xbow,US / remote,https://jobs.ashbyhq.com/xbowcareers,https://x.com/benln/status/2079598745734238527
8090 Factory,Redwood City / Toronto,https://www.8090.ai/careers,https://x.com/TheOneAndArjun/status/2079602293784097120
